,Date,Open,High,Low,Close,P/E,P/B,Div Yield %
5361,2021-07-20,15703.95,15728.45,15578.55,15632.1,27.89,4.21,1.11
5362,2021-07-22,15736.6,15834.8,15726.4,15824.05,28.22,4.26,1.11
5363,2021-07-23,15856.8,15899.8,15768.4,15856.05,28.28,4.16,1.13
5364,2021-07-26,15849.3,15893.35,15797.0,15824.45,28.13,4.13,1.13
5365,2021-07-27,15860.5,15881.55,15701.0,15746.45,27.45,4.11,1.14
5366,2021-07-28,15761.55,15767.5,15513.45,15709.4,26.98,4.1,1.18
5367,2021-07-29,15762.7,15817.35,15737.8,15778.45,27.08,4.12,1.19
5368,2021-07-30,15800.6,15862.8,15744.85,15763.05,27.01,4.12,1.18
5369,2021-08-02,15874.9,15892.9,15834.65,15885.15,27.21,4.15,1.17
5370,2021-08-03,15951.55,16146.9,15914.35,16130.75,27.31,4.21,1.15
5371,2021-08-04,16195.25,16290.2,16176.15,16258.8,27.39,4.25,1.14
5372,2021-08-05,16288.95,16349.45,16210.3,16294.6,26.72,4.25,1.14
5373,2021-08-06,16304.4,16336.75,16223.3,16238.2,26.51,4.24,1.13
5374,2021-08-09,16281.35,16320.75,16179.05,16258.25,26.53,4.25,1.13
5375,2021-08-10,16274.8,16359.25,16202.25,16280.1,26.35,4.24,1.13
5376,2021-08-11,16327.3,16338.75,16162.55,16282.25,26.34,4.24,1.13
5377,2021-08-12,16303.65,16375.5,16286.9,16364.4,26.25,4.26,1.14
5378,2021-08-13,16385.7,16543.6,16376.3,16529.1,26.51,4.3,1.10
5379,2021-08-16,16518.4,16589.4,16480.75,16563.05,25.62,4.31,1.10
5380,2021-08-17,16545.25,16628.55,16495.4,16614.6,25.46,4.21,1.10
5381,2021-08-18,16691.95,16701.85,16535.85,16568.85,25.39,4.19,1.10
5382,2021-08-20,16382.5,16509.55,16376.05,16450.5,25.21,4.16,1.11
5383,2021-08-23,16592.25,16592.5,16395.7,16496.45,25.28,4.18,1.11
5384,2021-08-24,16561.4,16647.1,16495.3,16624.6,25.47,4.21,1.10
5385,2021-08-25,16654.0,16712.45,16617.5,16634.65,25.49,4.21,1.10
5386,2021-08-26,16627.95,16683.7,16603.4,16636.9,25.49,4.21,1.08
5387,2021-08-27,16642.55,16722.05,16565.6,16705.2,25.6,4.23,1.08
5388,2021-08-30,16775.85,16951.5,16764.85,16931.05,25.94,4.29,1.06
5389,2021-08-31,16947.5,17153.5,16915.85,17132.2,26.25,4.33,1.05
5390,2021-09-01,17185.6,17225.75,17055.05,17076.25,26.17,4.32,1.05
5391,2021-09-02,17095.4,17245.5,17059.7,17234.15,26.41,4.36,1.04
5392,2021-09-03,17262.45,17340.1,17212.2,17323.6,26.54,4.38,1.03
5393,2021-09-06,17399.35,17429.55,17345.55,17377.8,26.63,4.39,1.03
5394,2021-09-07,17401.55,17436.5,17287.0,17362.1,26.6,4.39,1.03
5395,2021-09-08,17375.75,17383.4,17254.2,17353.5,26.59,4.39,1.07
5396,2021-09-09,17312.85,17379.65,17302.7,17369.25,26.61,4.39,1.07
5397,2021-09-13,17363.55,17378.35,17269.15,17355.3,26.59,4.39,1.07
5398,2021-09-14,17420.35,17438.55,17367.05,17380.0,26.63,4.39,1.07
5399,2021-09-15,17387.65,17532.7,17386.9,17519.45,26.84,4.43,1.06
